pair,count
"('k-nn', 'machine-learning')",50
"('machine-learning', 'object-detection')",50
"('data-mining', 'deep-learning')",49
"('ensemble-modeling', 'machine-learning')",49
"('data', 'data-cleaning')",49
"('feature-extraction', 'feature-selection')",49
"('gradient-descent', 'neural-network')",49
"('classification', 'xgboost')",49
"('classification', 'text-classification')",49
"('named-entity-recognition', 'nlp')",49
"('forecasting', 'python')",49
"('dataset', 'nlp')",49
"('machine-learning-model', 'neural-network')",49
"('decision-trees', 'python')",48
"('machine-learning', 'model-selection')",48
"('machine-learning', 'naive-bayes-classifier')",48
"('feature-extraction', 'machine-learning')",48
"('deep-learning', 'gradient-descent')",48
"('k-means', 'machine-learning')",47
"('clustering', 'nlp')",47
"('cross-validation', 'python')",47
"('classification', 'decision-trees')",47
"('multiclass-classification', 'python')",46
"('binary-classification', 'classification')",46
"('machine-learning', 'mathematics')",46
"('clustering', 'scikit-learn')",46
"('cross-validation', 'scikit-learn')",46
"('categorical-data', 'machine-learning')",45
"('cnn', 'computer-vision')",45
"('attention-mechanism', 'deep-learning')",45
"('activation-function', 'neural-network')",45
"('bert', 'machine-learning')",45
"('classification', 'clustering')",45
"('convolutional-neural-network', 'python')",45
"('python', 'r')",44
"('computer-vision', 'python')",44
"('binary-classification', 'machine-learning')",44
"('machine-learning', 'probability')",43
"('forecasting', 'lstm')",43
"('deep-learning', 'image-segmentation')",43
"('machine-learning', 'word-embeddings')",43
"('data-mining', 'python')",42
"('autoencoder', 'deep-learning')",42
"('data-analysis', 'python')",42
"('feature-selection', 'scikit-learn')",42
"('attention-mechanism', 'nlp')",42
"('machine-learning', 'multilabel-classification')",42
"('cnn', 'pytorch')",42
"('deep-learning', 'optimization')",42
"('convolution', 'deep-learning')",42
"('dataset', 'training')",41
"('linear-regression', 'scikit-learn')",41
"('generative-models', 'machine-learning')",41
"('image-classification', 'python')",41
"('cnn', 'convolution')",41
"('nlp', 'scikit-learn')",41
"('dataset', 'neural-network')",41
"('ai', 'machine-learning')",41
"('pytorch', 'transformer')",41
"('regression', 'statistics')",41
"('anomaly-detection', 'time-series')",40
"('deep-learning', 'gan')",40
"('optimization', 'python')",40
"('hyperparameter', 'hyperparameter-tuning')",40
"('bert', 'deep-learning')",40
"('keras', 'nlp')",40
"('feature-engineering', 'feature-extraction')",40
"('huggingface', 'transformer')",40
"('classification', 'supervised-learning')",40
"('data-science-model', 'machine-learning-model')",40
"('machine-learning', 'normalization')",40
"('machine-learning', 'text-mining')",40
"('pandas', 'python-3.x')",39
"('classification', 'data-mining')",39
"('huggingface', 'nlp')",39
"('keras', 'regression')",39
"('python', 'training')",39
"('nlp', 'text')",39
"('neural-network', 'optimization')",39
"('classification', 'feature-engineering')",39
"('classification', 'multilabel-classification')",38
"('random-forest', 'regression')",38
"('scikit-learn', 'svm')",38
"('multiclass-classification', 'scikit-learn')",38
"('tensorflow', 'time-series')",38
"('loss-function', 'tensorflow')",38
"('feature-scaling', 'machine-learning')",38
"('machine-learning', 'metric')",38
"('machine-learning-model', 'scikit-learn')",38
"('decision-trees', 'xgboost')",38
"('machine-learning', 'pca')",38
"('data-cleaning', 'preprocessing')",38
"('machine-learning', 'python-3.x')",38
"('matplotlib', 'visualization')",38
"('python', 'svm')",38
"('dimensionality-reduction', 'machine-learning')",37
"('python', 'reinforcement-learning')",37
"('data-analysis', 'machine-learning')",37
"('classification', 'statistics')",37
"('keras', 'scikit-learn')",37
"('neural-network', 'overfitting')",37
"('logistic-regression', 'scikit-learn')",37
"('backpropagation', 'machine-learning')",36
"('nlp', 'semantic-similarity')",36
"('accuracy', 'deep-learning')",36
"('convolution', 'neural-network')",36
"('anomaly-detection', 'unsupervised-learning')",36
"('gradient-descent', 'optimization')",36
"('categorical-data', 'categorical-encoding')",36
"('deep-learning', 'statistics')",36
"('prediction', 'python')",36
"('classification', 'image-classification')",35
"('deep-learning', 'overfitting')",35
"('autoencoder', 'keras')",35
"('deep-learning', 'predictive-modeling')",35
"('statistics', 'time-series')",35
"('predictive-modeling', 'statistics')",35
"('nlp', 'tokenization')",35
"('object-detection', 'python')",35
"('arima', 'time-series')",35
"('bert', 'word-embeddings')",35
"('accuracy', 'classification')",35
"('python', 'rnn')",35
"('encoding', 'machine-learning')",35
"('classification', 'training')",34
"('activation-function', 'deep-learning')",34
"('convolutional-neural-network', 'pytorch')",34
"('autoencoder', 'machine-learning')",34
"('nlp', 'rnn')",34
"('classification', 'tensorflow')",34
"('dataset', 'tensorflow')",34
"('correlation', 'feature-selection')",34
"('nlp', 'topic-model')",34
"('pipelines', 'scikit-learn')",34
"('hyperparameter-tuning', 'scikit-learn')",34
"('dataset', 'time-series')",34
"('deep-learning', 'transfer-learning')",34
"('data', 'pandas')",33
"('multiclass-classification', 'multilabel-classification')",33
"('deep-learning', 'generative-models')",33
"('machine-learning', 'numpy')",33
"('neural-network', 'predictive-modeling')",33
"('loss-function', 'pytorch')",33
"('class-imbalance', 'python')",33
"('nlp', 'text-generation')",33
"('anomaly-detection', 'python')",33
"('q-learning', 'reinforcement-learning')",33
"('data', 'data-science-model')",33
"('autoencoder', 'neural-network')",33
"('computer-vision', 'tensorflow')",33
"('data-science-model', 'dataset')",33
"('confusion-matrix', 'machine-learning')",33
"('probability', 'statistics')",33
"('data-science-model', 'statistics')",32
"('deep-learning', 'yolo')",32
"('python', 'unsupervised-learning')",32
"('predictive-modeling', 'random-forest')",32
"('machine-learning', 'one-hot-encoding')",32
"('python', 'recommender-system')",32
"('machine-learning', 'visualization')",32
"('opencv', 'python')",32
"('backpropagation', 'gradient-descent')",32
"('nlp', 'nltk')",32
"('cross-validation', 'hyperparameter-tuning')",31
"('feature-selection', 'random-forest')",31
"('data-imputation', 'missing-data')",31
"('embeddings', 'word-embeddings')",31
"('random-forest', 'xgboost')",31
"('embeddings', 'nlp')",31
"('prediction', 'time-series')",31
"('convolutional-neural-network', 'image-classification')",31
"('feature-engineering', 'time-series')",31
"('gan', 'generative-models')",31
"('classification', 'cross-validation')",31
"('correlation', 'machine-learning')",31
"('data-science-model', 'predictive-modeling')",31
"('prediction', 'predictive-modeling')",30
"('convolution', 'convolutional-neural-network')",30
"('lstm', 'pytorch')",30
"('deep-learning', 'word-embeddings')",30
"('keras', 'training')",30
"('deep-learning', 'feature-selection')",30
"('r', 'regression')",30
"('classification', 'model-evaluations')",30
"('llm', 'nlp')",30
"('r', 'statistics')",30
"('clustering', 'data-mining')",30
"('data', 'visualization')",30
"('image-classification', 'image-recognition')",30
"('classification', 'confusion-matrix')",29
"('backpropagation', 'deep-learning')",29
"('anomaly-detection', 'outlier')",29
"('class-imbalance', 'multiclass-classification')",29
"('class-imbalance', 'scikit-learn')",29
"('deep-learning', 'embeddings')",29
"('data-cleaning', 'data-mining')",29
"('regression', 'xgboost')",29
"('class-imbalance', 'smote')",29
"('nlp', 'similarity')",29
"('dataset', 'visualization')",29
"('lda', 'topic-model')",29
"('feature-selection', 'regression')",29
"('rnn', 'tensorflow')",29
"('machine-learning-model', 'predictive-modeling')",29
"('data', 'data-mining')",29
"('machine-learning', 'missing-data')",29
"('classification', 'data-science-model')",29
"('computer-vision', 'image-classification')",29
"('python', 'scipy')",28
"('machine-learning', 'outlier')",28
"('feature-scaling', 'scikit-learn')",28
"('scikit-learn', 'xgboost')",28
"('nlp', 'preprocessing')",28
"('python', 'spacy')",28
"('pandas', 'time-series')",28
"('computer-vision', 'pytorch')",28
"('deep-learning', 'text-classification')",28
"('data-science-model', 'regression')",28
"('hyperparameter-tuning', 'python')",28
"('overfitting', 'python')",28
"('dimensionality-reduction', 'pca')",28
"('cross-validation', 'training')",28
"('clustering', 'dbscan')",27
"('hyperparameter-tuning', 'xgboost')",27
"('clustering', 'time-series')",27
"('data-mining', 'data-science-model')",27
"('pipelines', 'python')",27
"('hyperparameter', 'machine-learning')",27
"('deep-learning', 'multiclass-classification')",27
"('matplotlib', 'pandas')",27
"('machine-learning', 'named-entity-recognition')",27
"('feature-scaling', 'normalization')",27
"('bert', 'text-classification')",27
"('bert', 'python')",27
"('preprocessing', 'scikit-learn')",27
"('computer-vision', 'neural-network')",27
"('correlation', 'python')",27
"('data-mining', 'dataset')",26
"('classification', 'metric')",26
"('data-science-model', 'nlp')",26
"('feature-engineering', 'python')",26
"('data', 'statistics')",26
"('keras', 'python-3.x')",26
"('k-means', 'scikit-learn')",26
"('numpy', 'scikit-learn')",26
"('text-classification', 'text-mining')",26
"('classification', 'loss-function')",26
"('gan', 'machine-learning')",26
"('machine-learning-model', 'regression')",26
"('classification', 'overfitting')",26
"('linear-regression', 'statistics')",26
"('cnn', 'object-detection')",26
"('information-retrieval', 'nlp')",26
"('data', 'data-analysis')",26
"('neural-network', 'reinforcement-learning')",25
"('cnn', 'lstm')",25
"('plotting', 'visualization')",25
"('auc', 'roc')",25
"('linear-regression', 'time-series')",25
"('scikit-learn', 'time-series')",25
"('algorithms', 'python')",25
"('machine-learning', 'sentiment-analysis')",25
"('machine-learning-model', 'training')",25
"('image-recognition', 'machine-learning')",25
"('lightgbm', 'xgboost')",25
"('classification', 'r')",25
"('cnn', 'image-segmentation')",25
"('confusion-matrix', 'python')",25
"('computer-vision', 'yolo')",25
"('data-cleaning', 'dataframe')",25
"('dataset', 'preprocessing')",25
"('neural-network', 'scikit-learn')",25
"('machine-learning', 'regularization')",25
"('data-analysis', 'statistics')",25
"('data-science-model', 'time-series')",25
"('embeddings', 'neural-network')",25
"('feature-engineering', 'neural-network')",25
"('deep-learning', 'image-preprocessing')",25
"('dataset', 'regression')",24
"('nlp', 'sequence-to-sequence')",24
"('gpt', 'transformer')",24
"('computer-vision', 'opencv')",24
"('normalization', 'python')",24
"('mathematics', 'statistics')",24
"('explainable-ai', 'machine-learning')",24
"('correlation', 'statistics')",24
"('data', 'preprocessing')",24
"('logistic-regression', 'regression')",24
"('bias', 'machine-learning')",24
"('machine-learning', 'transfer-learning')",24
"('deep-learning', 'mathematics')",24
"('r', 'visualization')",24
"('feature-selection', 'neural-network')",24
"('cross-validation', 'overfitting')",24
"('dqn', 'reinforcement-learning')",24
"('scikit-learn', 'text-classification')",24
"('r', 'time-series')",24
"('grid-search', 'scikit-learn')",24
"('python', 'word-embeddings')",24
"('decision-trees', 'regression')",24
"('deep-learning', 'feature-engineering')",23
"('activation-function', 'machine-learning')",23
"('hypothesis-testing', 'statistics')",23
"('data-mining', 'predictive-modeling')",23
"('dataset', 'statistics')",23
"('accuracy', 'training')",23
"('loss-function', 'python')",23
"('openai-gym', 'reinforcement-learning')",23
"('deep-learning', 'scikit-learn')",23
"('predictive-modeling', 'scikit-learn')",23
"('data-science-model', 'scikit-learn')",23
"('grid-search', 'machine-learning')",23
"('metric', 'model-evaluations')",23
"('ggplot2', 'r')",23
"('finetuning', 'nlp')",23
"('distribution', 'statistics')",23
"('clustering', 'pca')",23
"('embeddings', 'machine-learning')",23
"('tensorflow', 'transformer')",23
"('categorical-data', 'classification')",23
"('grid-search', 'python')",23
"('lstm', 'regression')",23
"('one-hot-encoding', 'scikit-learn')",23
"('classification', 'preprocessing')",23
"('data-leakage', 'machine-learning')",23
"('data-science-model', 'tensorflow')",23
"('accuracy', 'neural-network')",23
"('data-analysis', 'visualization')",23
"('classification', 'naive-bayes-classifier')",23
"('model-evaluations', 'python')",22
"('explainable-ai', 'shap')",22
"('image-preprocessing', 'python')",22
"('attention-mechanism', 'neural-network')",22
"('dataset', 'scikit-learn')",22
"('multilabel-classification', 'python')",22
"('computer-vision', 'image-segmentation')",22
"('machine-learning', 'similarity')",22
"('matplotlib', 'plotting')",22
"('python', 'sentiment-analysis')",22
"('features', 'machine-learning')",22
"('data-analysis', 'pandas')",22
"('normalization', 'preprocessing')",22
"('cnn', 'time-series')",22
"('clustering', 'feature-selection')",22
"('attention-mechanism', 'machine-learning')",22
"('training', 'validation')",22
"('pandas', 'preprocessing')",22
"('dataset', 'keras')",22
"('time-series', 'training')",22
"('pca', 'python')",22
"('data-imputation', 'machine-learning')",22
"('language-model', 'transformer')",22
"('cnn', 'loss-function')",22
"('neural-network', 'word-embeddings')",22
"('data-mining', 'neural-network')",22
"('machine-learning-model', 'tensorflow')",22
"('multiclass-classification', 'neural-network')",22
"('feature-extraction', 'python')",22
"('keras', 'machine-learning-model')",22
"('classification', 'probability')",22
"('image-classification', 'image-preprocessing')",22
"('machine-learning', 'shap')",22
"('gridsearchcv', 'scikit-learn')",22
"('implementation', 'python')",22
"('encoding', 'one-hot-encoding')",22
"('class-imbalance', 'imbalanced-learn')",22
"('deep-learning', 'forecasting')",21
"('mathematics', 'neural-network')",21
"('machine-learning', 'variance')",21
"('regression', 'tensorflow')",21
"('nltk', 'python')",21
"('machine-translation', 'nlp')",21
"('machine-learning-model', 'time-series')",21
"('overfitting', 'training')",21
"('dataset', 'machine-learning-model')",21
"('overfitting', 'random-forest')",21
"('groupby', 'pandas')",21
"('transformer', 'word-embeddings')",21
"('deep-learning', 'gpu')",21
"('feature-scaling', 'python')",21
"('accuracy', 'keras')",21
"('accuracy', 'python')",21
"('machine-learning', 'sampling')",21
"('machine-learning', 'pipelines')",21
"('dataset', 'image-classification')",21
"('linear-regression', 'predictive-modeling')",21
"('neural-network', 'statistics')",21
"('r', 'rstudio')",21
"('time-series', 'transformer')",21
"('cnn', 'dataset')",21
"('data-augmentation', 'deep-learning')",21
"('tensorflow', 'training')",21
"('deep-learning', 'semantic-segmentation')",21
"('boosting', 'machine-learning')",21
"('lda', 'nlp')",21
"('nlp', 'stanford-nlp')",21
"('mlp', 'neural-network')",21
"('k-means', 'unsupervised-learning')",21
"('image-preprocessing', 'machine-learning')",20
"('bayesian', 'machine-learning')",20
"('accuracy', 'scikit-learn')",20
"('cross-validation', 'xgboost')",20
"('python', 'seaborn')",20
"('computer-vision', 'convolutional-neural-network')",20
"('lightgbm', 'machine-learning')",20
"('machine-learning-model', 'model-selection')",20
"('forecasting', 'regression')",20
"('data-cleaning', 'missing-data')",20
"('class-imbalance', 'deep-learning')",20
"('cross-validation', 'random-forest')",20
"('data-mining', 'statistics')",20
"('python-3.x', 'scikit-learn')",20
"('hyperparameter-tuning', 'random-forest')",20
"('csv', 'python')",20
"('python', 'transformer')",20
"('classification', 'lstm')",20
"('python', 'word2vec')",20
"('missing-data', 'python')",20
"('classification', 'data')",20
"('binary', 'classification')",20
"('bert', 'huggingface')",20
"('naive-bayes-classifier', 'python')",20
"('scikit-learn', 'training')",20
"('python', 'text-mining')",20
"('autoencoder', 'python')",20
"('categorical-encoding', 'machine-learning')",20
"('outlier', 'python')",20
"('python', 'statsmodels')",20
"('deep-learning', 'hyperparameter-tuning')",20
"('data-science-model', 'neural-network')",20
"('decision-trees', 'gradient-boosting-decision-trees')",19
"('gradient-descent', 'python')",19
"('deep-learning', 'feature-extraction')",19
"('gradient-boosting-decision-trees', 'machine-learning')",19
"('accuracy', 'overfitting')",19
"('anomaly-detection', 'autoencoder')",19
"('loss-function', 'training')",19
"('data', 'neural-network')",19
"('neural-network', 'transfer-learning')",19
"('overfitting', 'regression')",19
"('gradient-descent', 'linear-regression')",19
"('feature-engineering', 'regression')",19
"('feature-engineering', 'scikit-learn')",19
"('supervised-learning', 'unsupervised-learning')",19
"('categorical-data', 'python')",19
"('deep-learning', 'recommender-system')",19
"('dataset', 'predictive-modeling')",19
"('plotting', 'python')",19
"('accuracy', 'cnn')",19
"('loss-function', 'optimization')",19
"('cnn', 'training')",19
"('named-entity-recognition', 'python')",19
"('clustering', 'r')",19
"('data-cleaning', 'scikit-learn')",19
"('apache-spark', 'pyspark')",19
"('categorical-data', 'one-hot-encoding')",19
"('grid-search', 'hyperparameter-tuning')",19
"('data-cleaning', 'nlp')",19
"('python-3.x', 'tensorflow')",19
"('one-hot-encoding', 'python')",19
"('cnn', 'image-preprocessing')",19
"('machine-learning-model', 'random-forest')",19
"('r', 'random-forest')",19
"('nlp', 'python-3.x')",19
"('categorical-data', 'encoding')",19
"('k-nn', 'scikit-learn')",19
"('categorical-data', 'regression')",19
"('deep-learning', 'vgg16')",19
"('keras', 'metric')",19
"('bias', 'variance')",19
"('feature-selection', 'predictive-modeling')",19
"('k-nn', 'python')",19
"('gpt', 'machine-learning')",19
"('linear-regression', 'logistic-regression')",19
"('csv', 'pandas')",18
"('clustering', 'dataset')",18
"('gradient-descent', 'loss-function')",18
"('image-classification', 'object-detection')",18
"('data-cleaning', 'feature-engineering')",18
"('correlation', 'regression')",18
"('machine-learning', 'roc')",18
"('lstm', 'sequence-to-sequence')",18
"('gridsearchcv', 'python')",18
"('data-analysis', 'dataset')",18
"('lightgbm', 'python')",18
"('logistic-regression', 'machine-learning-model')",18
"('class-imbalance', 'imbalanced-data')",18
"('anomaly-detection', 'isolation-forest')",18
"('auc', 'classification')",18
"('machine-learning-model', 'nlp')",18
"('matplotlib', 'seaborn')",18
"('data-cleaning', 'data-science-model')",18
"('class-imbalance', 'xgboost')",18
"('classification', 'pytorch')",18
"('data-cleaning', 'regression')",18
"('image-segmentation', 'machine-learning')",18
"('feature-selection', 'statistics')",18
"('logistic-regression', 'svm')",18
"('clustering', 'dimensionality-reduction')",18
"('neural-network', 'preprocessing')",18
"('probability', 'python')",18
"('autoencoder', 'tensorflow')",18
"('deep-learning', 'image-recognition')",18
"('logistic-regression', 'predictive-modeling')",18
"('keras', 'numpy')",18
"('linear-algebra', 'machine-learning')",18
"('gpu', 'tensorflow')",18
"('machine-learning', 'word2vec')",18
"('linear-regression', 'r')",18
"('deep-learning', 'model-evaluations')",18
"('cross-validation', 'deep-learning')",18
"('boosting', 'xgboost')",18
"('correlation', 'time-series')",18
"('data-imputation', 'python')",18
"('data-mining', 'time-series')",18
"('keras', 'multiclass-classification')",18
"('policy-gradients', 'reinforcement-learning')",18
"('data', 'deep-learning')",18
"('gensim', 'nlp')",18
"('classification', 'prediction')",18
"('computer-vision', 'image-recognition')",18
"('categorical-encoding', 'encoding')",17
"('machine-learning', 'smote')",17
"('cross-validation', 'grid-search')",17
"('keras', 'overfitting')",17
"('decision-trees', 'neural-network')",17
"('sequence-to-sequence', 'transformer')",17
"('machine-learning-model', 'overfitting')",17
"('machine-learning', 'ranking')",17
"('computer-vision', 'dataset')",17
"('multiclass-classification', 'nlp')",17
"('feature-construction', 'feature-engineering')",17
"('accuracy', 'machine-learning-model')",17
"('data', 'regression')",17
"('bert', 'language-model')",17
"('clustering', 'visualization')",17
"('numpy', 'tensorflow')",17
"('deep-learning', 'multilabel-classification')",17
"('forecasting', 'prediction')",17
"('data-augmentation', 'keras')",17
"('kernel', 'machine-learning')",17
"('feature-selection', 'xgboost')",17
"('pca', 'scikit-learn')",17
"('f1score', 'machine-learning')",17
"('deep-learning', 'preprocessing')",17
"('language-model', 'machine-learning')",17
"('gradient-boosting-decision-trees', 'xgboost')",17
"('bert', 'pytorch')",17
"('neural-network', 'text-classification')",17
"('neural-network', 'regularization')",17
"('machine-learning', 'performance')",17
"('pytorch', 'time-series')",17
"('keras', 'pytorch')",17
"('deep-learning', 'graph-neural-network')",17
"('neural-network', 'prediction')",17
"('nlp', 'unsupervised-learning')",17
"('cross-validation', 'time-series')",17
"('data-analysis', 'data-science-model')",17
"('feature-scaling', 'preprocessing')",17
"('sentiment-analysis', 'text-classification')",17
"('machine-learning', 'yolo')",17
"('feature-engineering', 'preprocessing')",17
"('computer-vision', 'keras')",17
"('cnn', 'transfer-learning')",17
"('dataframe', 'python-3.x')",17
"('graphs', 'machine-learning')",17
"('decision-trees', 'feature-selection')",17
"('lstm', 'prediction')",17
"('accuracy', 'multiclass-classification')",17
"('logistic-regression', 'statistics')",17
"('machine-learning-model', 'statistics')",17
"('dataframe', 'dataset')",17
"('gensim', 'word2vec')",17
"('linear-regression', 'machine-learning-model')",17
"('loss-function', 'regression')",17
"('classification', 'computer-vision')",17
"('auc', 'machine-learning')",17
"('normalization', 'time-series')",17
"('data', 'scikit-learn')",17
"('machine-learning-model', 'model-evaluations')",17
"('data-mining', 'nlp')",17
"('data-mining', 'visualization')",16
"('gradient', 'gradient-descent')",16
"('clustering', 'predictive-modeling')",16
"('data', 'time-series')",16
"('accuracy', 'model-evaluations')",16
"('image-segmentation', 'tensorflow')",16
"('nlp', 'recommender-system')",16
"('kernel', 'svm')",16
"('audio-recognition', 'machine-learning')",16
"('classification', 'k-nn')",16
"('gpt', 'language-model')",16
"('scikit-learn', 'tfidf')",16
"('convolutional-neural-network', 'training')",16
"('dataset', 'r')",16
"('python', 'shap')",16
"('model-evaluations', 'recommender-system')",16
"('nlp', 'transfer-learning')",16
"('deep-learning', 'python-3.x')",16
"('encoding', 'python')",16
"('decision-trees', 'machine-learning-model')",16
"('class-imbalance', 'neural-network')",16
"('lstm', 'sequence')",16
"('anomaly-detection', 'scikit-learn')",16
"('feature-engineering', 'feature-scaling')",16
"('keras', 'object-detection')",16
"('cnn', 'image-recognition')",16
"('metric', 'tensorflow')",16
"('logistic-regression', 'r')",16
"('machine-learning', 'tfidf')",16
"('classification', 'convolutional-neural-network')",16
